filename,bye,hello,no,please,sorry,thankyou,yes
0017-2311c2cd-3e20-4050-9de2-4cc38814ef1c_jpg.rf.7d52c85a1069907c1cb49c3357c7fbb4.jpg,0,0,0,0,0,1,0
0021-63db579e-0fe5-45dd-bbc4-1f304233f822_jpg.rf.38270a62415e770a7c517fa29ba82edb.jpg,0,0,0,0,0,0,1
0016-232c8695-9dc4-4ba9-804f-0ee1755dacb9_jpg.rf.954dbfdc9dbf2cf8eb041524ee4ff0c0.jpg,0,0,0,0,0,1,0
0009-dc05176e-6f42-4f5b-bf2a-6a6151608dab_jpg.rf.3d5daaf40464f6e607cd71b56450e7d0.jpg,0,0,0,0,1,0,0
0013-a6e76303-a64d-48cb-8397-e9c94b36172a_jpg.rf.8c95bce58a2cf96a1a63abbffaa41937.jpg,0,0,0,1,0,0,0
0008-9f2041b0-bebc-4204-9558-cc08e55f4fc7_jpg.rf.7648cb2f6b2b4221231d0a2f0fba861d.jpg,0,0,0,0,1,0,0
0020-ab56ad96-0b30-4578-9074-574c0fe25944_jpg.rf.7fc542193a254168308d01997ae54c16.jpg,0,0,0,0,0,1,0
0019-61aaa04a-f7c9-4f24-9a90-6798a1c1fed1_jpg.rf.6f49686290ab20a08423f3bd5553dcf1.jpg,0,0,0,0,1,0,0
0009-1e2e24bb-2470-4859-b528-2b2fa8643afa_jpg.rf.a3af7851eebd1b3f921741beeef4446e.jpg,0,0,0,0,1,0,0
0011-b33d5358-78fd-4674-a720-94cbb9e3983c_jpg.rf.8e1469a73d884e8737b053aad6fc5f7d.jpg,0,0,0,1,0,0,0
0010-40eaa2d1-3ca0-434c-a836-1938a005ddb3_jpg.rf.9bf56a6bd5b8f8a8ce4ae0be9a835ec7.jpg,0,0,0,1,0,0,0
0019-0daf16c7-22c9-40cf-b1a7-03b6b8560f54_jpg.rf.9767cf4024364408aa817f80a5a6d075.jpg,0,0,0,1,0,0,0
0019-d23a7bf0-bbaa-4d57-96d3-d0de1c8671d6_jpg.rf.a7490b25276509c2bb88de48226d31b3.jpg,0,0,0,0,0,1,0
0017-34c0108f-954a-4498-90da-8e65e2a0e90a_jpg.rf.a33cdc567bbccceabb5f9aa0ad2a0514.jpg,0,0,0,0,1,0,0
0012-83240f4d-1b2d-488c-b05c-811a0d1ab99b_jpg.rf.087b9d7b735d03bdb5f4886f1f4b4197.jpg,0,0,1,0,0,0,0
0018-0df6050f-e108-453e-9d60-9f44a1f97e5b_jpg.rf.9f85ae7ac370adcb380b854f4e7cca6c.jpg,0,0,0,0,0,1,0
0018-0eb9903d-1c85-4d5e-ac35-b92440ef4c15_jpg.rf.b7b41b66ee8b84567642419589e81ce9.jpg,0,0,0,0,1,0,0
0017-b252713e-d354-46cd-9b5b-362af645effc_jpg.rf.aa1d35653e586362dcf6a56ecb09dfb5.jpg,0,0,0,0,0,1,0
0011-4f67dbbc-6dea-4683-8840-ec4a45814dc3_jpg.rf.c94b6b8ae9c10ec198d402fa002b4223.jpg,0,0,0,0,0,0,1
0010-441bba1f-4d02-4521-a813-c6df9ad43c85_jpg.rf.a99bc06cf7abf593ec5043f15d60aa65.jpg,0,1,0,0,0,0,0
0013-eb2a4bbb-baf2-4e40-ba27-ee3e8b375049_jpg.rf.bb7993e49be587620b8b0d5c0b1bb911.jpg,0,0,0,0,0,1,0
0019-b4c7c320-f3dc-414e-b24f-06bb9ce55678_jpg.rf.b80e7d7d8db614612ddae39fb0a3fe7a.jpg,0,0,0,0,1,0,0
0011-cb78adbf-3275-41e6-9274-898183fe4031_jpg.rf.bdc3f56972382ef0af8695dedd91194e.jpg,0,0,0,0,0,1,0
0021-73cda6d4-fd61-46c7-8559-92f3605d79bb_jpg.rf.baf8edf88cc3ef0bf278b16c432bb099.jpg,0,0,0,0,0,1,0
0016-e72590fc-5246-46a0-9946-7b324e50c925_jpg.rf.a6f761c8388ce6884107bffeb4c5c214.jpg,0,0,0,0,0,0,1
0002-747677bf-4c49-4a58-a428-cd9ca1cfc475_jpg.rf.cad3a1e17b628b36516356dec978c458.jpg,0,1,0,0,0,0,0
0011-2decbfbd-1ede-494f-a135-25d296fb0392_jpg.rf.bdb6cbe8d45ed37ee985e16f6b8d492d.jpg,0,0,0,1,0,0,0
0010-45c40228-fbeb-4110-b070-4b4191fe5a82_jpg.rf.90b28cf4934c8e517ab60e396ed63f10.jpg,0,0,0,0,0,1,0
0020-8177849c-367c-4b3a-aca7-87a104bd63d9_jpg.rf.d98d44149820731e721e76d7ae5742ee.jpg,0,0,0,0,0,0,1
0018-9d3e845e-83b4-4b86-bebe-7e78ad70f08b_jpg.rf.b00bfe225ca1a9a7ede9ea8c93086c78.jpg,0,1,0,0,0,0,0
0009-8f7b5ec7-424a-457d-9b08-b9fd3583e6e9_jpg.rf.d7d6b6a746a9e3f53809abcb779fa4e3.jpg,0,0,0,0,1,0,0
0017-76ea49d6-4224-41d9-b752-e6283ecff994_jpg.rf.ba0e4bbf584850e23c12bb5b70add894.jpg,1,0,0,0,0,0,0
0018-1d2c8670-d59f-4b9f-a992-099c5535f4e1_jpg.rf.b9630d614e9bdce0a7439c8b3942cebd.jpg,0,1,0,0,0,0,0
0013-14b1d324-9a7a-4483-9426-8d547a520d99_jpg.rf.c8e617752f4aa5960011a23599035508.jpg,0,0,0,0,1,0,0
0020-91dd6b65-ed72-4271-976b-2ad1e5442c3c_jpg.rf.fd71972b36c0cbe27d5e230e9438b7fb.jpg,0,0,0,0,1,0,0
0014-7f3e4c87-5fe6-42e9-9b59-2a717fec5b6f_jpg.rf.d07554ad120a8b9714f5cced8c57bd89.jpg,0,0,1,0,0,0,0
0008-9c018fde-1f0e-4ad3-b02a-e195d63e2b50_jpg.rf.f343e7fbdead586406b72ffc7525e13c.jpg,0,0,0,1,0,0,0
0008-50712222-19e7-428e-96c6-00a038c16693_jpg.rf.fae8beb59211ef58f239080029134c42.jpg,0,0,0,0,0,0,1
0010-31b8d600-8ae4-4fc8-8655-5b6ac2725fe9_jpg.rf.cea5f5083d31c45770327127fd7098c2.jpg,0,0,0,0,1,0,0
0015-818d7e66-1f56-4014-aa03-bd3e5d023eae_jpg.rf.fafb01859b7d935322d2d38d852d3250.jpg,0,0,0,0,0,1,0
0010-3f372c78-cf9f-450f-9ea3-f9413fe27c49_jpg.rf.fc0ccc684c20886d9ea13f46b95dee4d.jpg,0,0,0,0,0,1,0
0020-ef127ea8-7aea-4238-bc5c-e0df0cfdae78_jpg.rf.cf90b2e24813005f05dcb319fe66b4a6.jpg,0,0,0,0,0,1,0
0018-6c24d4d3-e157-4edc-9cc7-5f998040601c_jpg.rf.f2905450190f605b35b67ef241eb5143.jpg,0,0,0,0,1,0,0
0011-c9764924-7833-40a7-a081-74c07e0e995b_jpg.rf.fa297bb74be390b63563354a1980c8a1.jpg,0,0,0,0,1,0,0
